IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,total_kk,total_penduduk,sktm,sktm_per_100kk,skor_kesejahteraan,sektor_dominan,grup_sektor,sektor_industri,sektor_jasa,sektor_lainnya,sektor_perdagangan,sektor_pertanian,subsektor_pertanian,is_pertanian,skor_diversifikasi,ada_pades,jumlah_bumdes,ada_bumdes,skor_bumdes,jumlah_kud,jumlah_kospin,total_koperasi,ada_koperasi,skor_koperasi,skor_kelembagaan,ada_produk_unggulan,orientasi_ekspor,industri_makanan,industri_kerajinan,total_industri,ada_industri,skor_industri,skor_produktivitas,akses_kur,skor_akses_modal,skor_infrastruktur_ekonomi,skor_ekonomi_total,kategori_ekonomi,cluster,label
3501050006,PACITAN,KEBONAGUNG,SIDOMULYO,2,-8.2405367,2,111.1843382,1824,7296,83,4.550438596491229,73.2545529414073,1,pertanian,False,False,False,False,True,1,100,0,0,1,100,33.33333333333333,0,1,1,100,25.0,20.833333333333332,0,0.0,783,0,783,100,100.0,30.0,100,100,0,41.02197156868516,Berkembang,1,Desa Berkembang
3501050007,PACITAN,KEBONAGUNG,WORAWARI,2,-8.2382732,2,111.2212482,930,3720,18,1.935483870967742,88.6240896770603,3,industri,True,False,False,False,False,0,0,75,0,2,100,66.66666666666666,0,1,1,100,25.0,34.166666666666664,100,0.0,391,0,391,100,100.0,65.0,100,100,0,68.19768908593173,Produktif,5,Desa Maju
3501050008,PACITAN,KEBONAGUNG,MANTREN,2,-8.2289332,2,111.1935818,667,2668,32,4.7976011994003,71.80184147837035,1,pertanian,False,False,False,False,True,3,100,0,0,3,100,100.0,0,1,1,100,25.0,47.5,100,0.0,376,0,376,100,100.0,65.0,100,100,0,56.07546036959259,Transisi,1,Desa Berkembang
3501050009,PACITAN,KEBONAGUNG,GAWANG,2,-8.2293913,2,111.1812119,666,2664,18,2.7027027027027026,84.11471981931844,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,0.0,204,0,204,100,100.0,65.0,100,100,0,58.11201328816294,Transisi,0,Desa Subsisten Pertanian
3501050010,PACITAN,KEBONAGUNG,KARANGANYAR,2,-8.2294118,2,111.1636188,741,2964,17,2.2941970310391366,86.51573382773454,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,0.0,407,0,407,100,100.0,65.0,100,100,0,58.712266790266966,Transisi,0,Desa Subsisten Pertanian
3501050011,PACITAN,KEBONAGUNG,KEBONAGUNG,1,-8.2233571,2,111.1575572,336,1344,18,5.357142857142857,68.51310535614904,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,30,0,30,100,90.9090909090909,62.272727272727266,100,100,0,55.40479149055241,Transisi,0,Desa Subsisten Pertanian
3501050012,PACITAN,KEBONAGUNG,PURWOASRI,1,-8.2143123,2,111.1498361,805,3220,25,3.1055900621118013,81.7467277426951,19,lainnya,False,False,True,False,False,0,0,25,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,40,0,40,100,100.0,65.0,100,100,0,63.145015269007104,Transisi,2,Desa Transisi (Non-Pertanian)
3501050013,PACITAN,KEBONAGUNG,BANJARJO,1,-8.2129625,2,111.1575321,441,1764,12,2.7210884353741496,84.00665668883761,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,1,1,2,100,50.0,58.33333333333333,100,0.0,39,0,39,100,100.0,65.0,100,100,0,61.83499750554273,Transisi,0,Desa Subsisten Pertanian
3501050014,PACITAN,KEBONAGUNG,GEMBUK,2,-8.2112827,2,111.2102703,1199,4796,16,1.3344453711426187,92.15672571562678,1,pertanian,False,False,False,False,True,3,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,0.0,0,0,0,0,0.0,35.0,100,100,0,52.62251476224003,Transisi,0,Desa Subsisten Pertanian
3501050015,PACITAN,KEBONAGUNG,SANGGRAHAN,2,-8.19009002,2,111.1922567,1087,4348,3,0.27598896044158233,98.37786007354586,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,623,0,623,100,100.0,65.0,100,100,0,63.5527983517198,Transisi,0,Desa Subsisten Pertanian
3501050016,PACITAN,KEBONAGUNG,PUNJUNG,2,-8.197545359,2,111.168786,617,2468,20,3.2414910858995136,80.94796218200267,1,pertanian,False,False,False,False,True,1,100,0,100,4,100,100.0,0,0,0,0,0.0,70.0,100,0.0,20,0,20,100,60.60606060606061,53.18181818181819,100,100,0,61.032445090955214,Transisi,0,Desa Subsisten Pertanian
3501050017,PACITAN,KEBONAGUNG,WONOGONDO,2,-8.188989416,2,111.1551376,625,2500,13,2.08,87.77468837294747,1,pertanian,False,False,False,False,True,1,100,0,100,2,100,66.66666666666666,0,0,0,0,0.0,56.666666666666664,100,0.0,30,0,30,100,90.9090909090909,62.272727272727266,100,100,0,61.678520578085354,Transisi,0,Desa Subsisten Pertanian
3501050018,PACITAN,KEBONAGUNG,KETEPUNG,2,-8.1760359,2,111.1532913,1083,4332,54,4.986149584487535,70.69363822622182,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,50.0,9,0,9,100,27.27272727272727,60.68181818181818,100,100,0,53.67719743534333,Transisi,3,Desa Produktif
3501050019,PACITAN,KEBONAGUNG,KETRO,1,-8.168936974,2,111.1988326,1368,5472,105,7.675438596491229,54.887197732494236,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,0.0,30,0,30,100,90.9090909090909,62.272727272727266,100,100,0,50.123314584638706,Transisi,0,Desa Subsisten Pertanian
3501060001,PACITAN,ARJOSARI,MLATI,2,-8.1155699,2,111.1183777,1089,4356,29,2.6629935720844813,84.34811236559108,1,pertanian,False,False,False,False,True,1,100,0,100,3,100,100.0,1,0,1,100,25.0,77.5,0,0.0,35,0,35,100,100.0,30.0,100,100,0,57.96202809139777,Transisi,0,Desa Subsisten Pertanian
3501060002,PACITAN,ARJOSARI,SEDAYU,1,-8.116847,2,111.1323914,1255,5020,61,4.860557768924303,71.43181086231212,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,2,2,100,50.0,58.33333333333333,100,0.0,35,0,35,100,100.0,65.0,100,100,0,58.691286048911365,Transisi,0,Desa Subsisten Pertanian
3501060003,PACITAN,ARJOSARI,TREMAS,1,-8.1174515,2,111.1449762,673,2692,24,3.566121842496285,79.03992748819431,1,pertanian,False,False,False,False,True,1,100,0,100,0,0,0.0,0,1,1,100,25.0,37.5,100,0.0,28,1,29,100,87.87878787878788,61.36363636363636,100,100,0,54.47589096295766,Transisi,0,Desa Subsisten Pertanian
3501060004,PACITAN,ARJOSARI,ARJOSARI,1,-8.1250011,2,111.1492911,690,2760,20,2.898550724637681,82.96361255984876,7,perdagangan,False,False,False,True,False,0,0,60,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,50.0,20,3,23,100,69.6969696969697,73.4090909090909,100,100,0,70.80150920056825,Produktif,3,Desa Produktif
3501060005,PACITAN,ARJOSARI,GUNUNGSARI,1,-8.1402345,2,111.1422161,751,3004,16,2.130492676431425,87.47791495743877,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,1,3,4,100,100.0,73.33333333333333,100,0.0,9,0,9,100,27.27272727272727,43.18181818181818,100,100,0,60.99826661814757,Transisi,0,Desa Subsisten Pertanian
