akses_listrik,ras_listrik_pln,sanitasi_layak,air_aman,jalan_baik,aksesibilitas_jalan,kesejahteraan_ekonomi,pades,bumdes,produk_unggulan,jml_koperasi,sektor_jasa,sektor_lainnya,sektor_perdagangan,sektor_pertanian,puskesmas,posyandu,bidan,gizi_buruk,pendidikan_dasar,pendidikan_menengah,tbm,pemilahan_sampah,no_banjir,peringatan_dini,internet_desa,rkp_desa
100.0,100.0,1,0,1,4,98.98550724637681,1,0,1,2,False,False,False,True,0,5,1,0,3,1,1,1,1,0,4,1
100.0,100.0,1,1,1,4,98.39572192513369,1,1,0,2,False,False,False,True,0,4,2,0,2,1,1,1,1,0,4,1
100.0,100.0,1,1,1,4,98.51648351648352,1,4,1,1,False,False,False,True,0,7,1,0,3,1,0,1,1,1,4,1
100.0,100.0,1,1,1,4,100.0,1,4,0,3,False,False,False,True,0,6,2,0,5,2,1,2,1,1,4,1
100.0,100.0,1,1,1,4,93.48534201954398,1,1,1,0,False,False,False,True,0,6,1,0,6,0,1,4,1,0,4,1
100.0,100.0,1,1,1,4,91.32791327913279,1,1,1,2,False,False,False,True,0,8,4,0,7,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,99.11504424778761,1,1,0,0,False,False,False,True,0,4,1,0,4,0,1,1,1,0,4,1
100.0,100.0,1,1,1,4,99.1180461329715,1,1,0,0,False,False,False,True,0,6,1,0,4,2,1,2,1,0,4,1
100.0,100.0,1,1,1,4,97.11340206185567,1,1,0,2,False,False,False,True,0,5,2,0,4,3,1,4,1,0,4,1
100.0,100.0,1,1,1,4,95.56213017751479,1,1,1,3,False,False,False,True,0,9,1,0,7,0,0,2,1,1,4,1
99.968671679198,99.968671679198,1,0,1,4,97.68170426065163,1,4,1,0,False,False,False,True,0,8,5,0,8,4,0,4,1,1,4,1
100.0,100.0,1,1,1,4,90.23605150214593,1,3,1,0,False,False,False,True,0,3,1,7,3,0,0,2,1,0,4,1
100.0,100.0,1,1,1,4,98.103186646434,1,1,1,2,False,False,False,True,0,5,1,0,2,0,1,1,1,0,4,1
100.0,100.0,1,1,1,4,98.51075565361279,1,1,0,2,False,False,False,True,0,9,1,2,3,1,0,1,1,0,4,1
100.0,100.0,1,1,1,4,98.5310119695321,1,1,1,1,False,False,False,True,0,8,2,1,5,1,1,1,1,0,4,1
100.0,100.0,1,1,1,4,94.82182628062361,1,1,1,4,False,False,False,True,0,6,1,1,5,0,1,1,1,0,4,1
100.0,100.0,1,1,1,4,96.01873536299766,1,1,1,0,False,False,False,True,0,7,3,1,5,1,1,2,1,0,4,1
100.0,100.0,1,1,1,4,97.9966611018364,1,1,1,0,False,False,False,True,0,7,2,0,4,0,0,1,1,0,4,1
100.0,100.0,1,1,1,4,98.85632594710508,1,1,1,1,False,False,False,True,0,7,3,0,2,2,0,2,1,1,4,1
100.0,100.0,1,0,1,4,98.85367498314228,1,1,1,0,False,False,False,True,0,9,1,0,6,0,1,2,1,1,4,1
100.0,100.0,1,0,1,4,99.05808477237049,1,5,1,2,False,False,False,True,0,5,1,0,3,1,0,2,1,1,4,1
100.0,100.0,1,0,1,4,98.13953488372093,1,1,1,0,False,False,False,True,0,5,1,0,2,0,0,2,1,1,4,1
100.0,100.0,1,0,1,4,97.04579025110783,1,1,0,1,False,False,False,True,0,3,2,0,2,0,0,2,1,0,4,1
100.0,100.0,1,0,1,4,97.17037928958459,1,1,1,1,False,False,False,True,0,5,3,0,4,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,97.89864029666255,1,1,1,2,False,False,True,False,0,3,1,0,2,1,0,2,1,0,4,1
100.0,100.0,1,0,1,4,96.80555555555556,1,1,1,1,False,False,False,True,0,4,1,0,3,1,0,2,0,0,4,1
100.0,100.0,1,0,1,4,98.84105960264901,1,0,1,1,False,False,False,True,0,4,1,0,3,0,0,2,0,0,4,1
100.0,100.0,1,0,1,4,98.94551845342707,1,1,1,1,False,False,True,False,0,5,2,0,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,97.46514575411913,1,1,1,4,False,False,False,True,0,4,1,0,2,0,1,3,1,0,4,1
100.0,100.0,1,1,1,4,99.46452476572958,1,0,1,0,False,False,False,True,0,4,1,0,2,1,0,2,1,0,4,1
