IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,tps,tps3r,bank_sampah,pemilahan_sampah,skor_pengelolaan_sampah,pencemaran_air,pencemaran_tanah,pencemaran_udara,total_pencemaran,skor_kualitas_lingkungan,banjir,kebakaran_hutan,kekeringan,longsor,total_bencana,tingkat_kerawanan,skor_ketahanan_bencana,peringatan_dini,rambu_evakuasi,destana,skor_mitigasi_bencana,penanaman_pohon,daur_ulang_masyarakat,pupuk_organik,komunitas_lingkungan,skor_pelestarian,skor_lingkungan_total,kategori_lingkungan,cluster,label
3501030011,PACITAN,PRINGKUKU,GLINGGANGAN,1,-8.1541604,2,111.0710505,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,0,50.0,67.5,Baik,1,Lingkungan Terbaik
3501030012,PACITAN,PRINGKUKU,PELEM,1,-8.1244379,2,111.070612,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,100,30.0,0,0,100,0,20.0,52.5,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501030013,PACITAN,PRINGKUKU,TAMANASRI,1,-8.114741,2,111.0734071,0,0,0,0,0.0,0,0,0,0,100.0,0,1,0,0,1,25,75,0,0,0,0.0,100,100,100,50,87.5,51.875,Sedang,0,Lingkungan Sedang
3501040001,PACITAN,PACITAN,SIDOHARJO,1,-8.1961533,2,111.0947963,100,100,100,75,93.75,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,100,100,50,87.5,96.5625,Sangat Baik,1,Lingkungan Terbaik
3501040002,PACITAN,PACITAN,PLOSO,1,-8.2031669,2,111.099281,100,100,100,75,93.75,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,100,100,100,100.0,98.4375,Sangat Baik,1,Lingkungan Terbaik
3501040003,PACITAN,PACITAN,KEMBANG,1,-8.2125009,2,111.1157383,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,71.25,Baik,1,Lingkungan Terbaik
3501040004,PACITAN,PACITAN,SUKOHARJO,1,-8.212684,2,111.1323042,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,71.25,Baik,1,Lingkungan Terbaik
3501040005,PACITAN,PACITAN,KAYEN,1,-8.2116038,2,111.1380285,0,0,100,25,31.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,79.0625,Baik,1,Lingkungan Terbaik
3501040006,PACITAN,PACITAN,SIRNOBOYO,1,-8.2014931,2,111.1152786,100,0,0,0,20.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,76.25,Baik,1,Lingkungan Terbaik
3501040007,PACITAN,PACITAN,ARJOWINANGUN,1,-8.1988454,2,111.1182216,100,100,100,25,81.25,1,0,0,1,66.67,0,0,0,0,0,0,100,100,100,100,100.0,100,100,100,100,100.0,88.6465,Sangat Baik,1,Lingkungan Terbaik
3501040008,PACITAN,PACITAN,BALEHARJO,1,-8.1975013,2,111.105039,100,100,0,25,56.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,0,100,100,100,70.0,84.5625,Sangat Baik,1,Lingkungan Terbaik
3501040009,PACITAN,PACITAN,BANGUNSARI,1,-8.1962206,2,111.0854346,100,0,0,0,20.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,100,100,60.0,0,0,100,50,32.5,63.875,Sedang,1,Lingkungan Terbaik
3501040010,PACITAN,PACITAN,SEDENG,1,-8.1810505,2,111.0696017,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,71.25,Baik,1,Lingkungan Terbaik
3501040011,PACITAN,PACITAN,SUMBERHARJO,1,-8.1867804,2,111.0928704,100,0,0,0,20.0,0,0,0,0,100.0,0,0,0,0,0,0,100,0,100,100,60.0,100,0,100,50,62.5,68.375,Baik,1,Lingkungan Terbaik
3501040012,PACITAN,PACITAN,PUCANGSEWU,1,-8.1907078,2,111.0994824,100,0,0,0,20.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,0,0,100,100,45.0,71.75,Baik,1,Lingkungan Terbaik
3501040013,PACITAN,PACITAN,PACITAN,1,-8.1912802,2,111.1028207,100,0,100,0,45.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,100,100,100,100.0,86.25,Sangat Baik,1,Lingkungan Terbaik
3501040014,PACITAN,PACITAN,TANJUNGSARI,1,-8.196944,2,111.1125514,100,0,100,0,45.0,0,0,0,0,100.0,0,0,0,1,1,25,75,100,100,100,100.0,0,0,100,100,45.0,71.75,Baik,0,Lingkungan Sedang
3501040015,PACITAN,PACITAN,MENADI,1,-8.1943841,2,111.1206136,100,0,0,0,20.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,76.25,Baik,1,Lingkungan Terbaik
3501040016,PACITAN,PACITAN,MENTORO,1,-8.1940164,2,111.1258047,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,71.25,Baik,1,Lingkungan Terbaik
3501040017,PACITAN,PACITAN,PURWOREJO,1,-8.1859429,2,111.131705,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,71.25,Baik,1,Lingkungan Terbaik
3501040018,PACITAN,PACITAN,NANGGUNGAN,1,-8.1823441,2,111.1169351,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,100,100,100,100.0,75.0,Baik,1,Lingkungan Terbaik
3501040019,PACITAN,PACITAN,WIDORO,1,-8.177499,2,111.1181278,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,100,0,30.0,0,0,100,100,45.0,57.8125,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501040020,PACITAN,PACITAN,SEMANTEN,2,-8.1757476,2,111.1198544,0,0,0,75,18.75,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,0,100,100,75.0,75.9375,Baik,1,Lingkungan Terbaik
3501040021,PACITAN,PACITAN,BANJARSARI,2,-8.1617668,2,111.1297077,0,0,0,25,6.25,1,0,0,1,66.67,0,0,0,1,1,25,75,100,100,0,70.0,100,0,100,50,62.5,53.5215,Sedang,0,Lingkungan Sedang
3501040022,PACITAN,PACITAN,BOLOSINGO,2,-8.1494495,2,111.1243218,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,0,70.0,0,0,100,0,20.0,60.0625,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501040023,PACITAN,PACITAN,SAMBONG,2,-8.1665134,2,111.1015681,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,0,70.0,0,0,100,50,32.5,61.9375,Sedang,1,Lingkungan Terbaik
3501040024,PACITAN,PACITAN,PONGGOK,2,-8.148811,2,111.1065835,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,0,70.0,100,0,100,50,62.5,64.875,Sedang,1,Lingkungan Terbaik
3501040025,PACITAN,PACITAN,TAMBAKREJO,2,-8.147187,2,111.1348652,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,0,0,40.0,100,0,50,0,40.0,58.5625,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501050001,PACITAN,KEBONAGUNG,PLUMBUNGAN,2,-8.2353089,2,111.1284568,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,1,1,25,75,100,100,100,100.0,100,50,0,0,42.5,61.6875,Sedang,0,Lingkungan Sedang
3501050002,PACITAN,KEBONAGUNG,KARANGNONGKO,2,-8.224339,2,111.1799768,0,0,0,75,18.75,0,0,0,0,100.0,0,0,0,1,1,25,75,100,0,100,70.0,0,0,0,0,0.0,53.9375,Sedang,0,Lingkungan Sedang
3501050003,PACITAN,KEBONAGUNG,KALIPELUS,2,-8.2481742,2,111.1541445,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,1,1,25,75,100,100,0,70.0,0,0,0,0,0.0,50.8125,Sedang,0,Lingkungan Sedang
3501050004,PACITAN,KEBONAGUNG,KATIPUGAL,2,-8.2458985,2,111.157565,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,1,1,25,75,100,100,100,100.0,0,0,0,0,0.0,53.75,Sedang,0,Lingkungan Sedang
3501050005,PACITAN,KEBONAGUNG,KLESEM,2,-8.2468131,2,111.1737194,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,50,50,0,0,27.5,65.6875,Baik,1,Lingkungan Terbaik
3501050006,PACITAN,KEBONAGUNG,SIDOMULYO,2,-8.2405367,2,111.1843382,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,0,70.0,50,50,0,0,27.5,59.625,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501050007,PACITAN,KEBONAGUNG,WORAWARI,2,-8.2382732,2,111.2212482,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,0,70.0,0,0,0,0,0.0,55.5,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
